2025-12-15 21:21:26.679 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-15 21:21:27.126 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-15 21:21:27.127 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-15 21:22:17.248 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-15 21:22:18.437 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-15 21:22:18.586 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-15 21:22:18.873 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-15 21:22:19.344 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-15 21:22:19.497 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 11 canais válidos.
2025-12-15 21:23:39.711 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-15 21:23:40.360 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-15 21:23:46.195 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:29 - ✅ Postado no WhatsApp com sucesso!
2025-12-15 21:23:46.197 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/Celular-Samsun...
2025-12-15 21:23:47.127 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (1/15)
2025-12-15 21:23:47.132 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:29 - ✅ Postado no WhatsApp com sucesso!
2025-12-15 21:23:47.132 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B07D5QHZ9M?...
2025-12-15 21:23:47.421 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (2/15)
2025-12-15 21:24:10.606 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://descontostop.com/promocao/mousepad-gamer-profissional-90x40-cm-desk-pad-alta-qualidade
2025-12-15 21:24:12.447 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://descontostop.com/grupo-promocoes-whatsapp-telegram-cupom-desconto/
2025-12-15 21:24:45.324 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-15 21:24:49.651 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:29 - ✅ Postado no WhatsApp com sucesso!
2025-12-15 21:24:49.654 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0B3BC2FX3?...
2025-12-15 21:24:49.940 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (3/15)
2025-12-15 21:26:12.374 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-15 21:27:30.775 | INFO     | __main__:<module>:147 - 🚫 Bot desligado manualmente.
2025-12-15 21:27:35.031 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-15 21:27:35.612 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-15 21:27:35.659 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-15 21:27:36.642 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-15 21:27:36.788 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-15 21:27:37.008 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-15 21:27:37.155 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-15 21:27:37.298 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-15 21:27:37.298 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 11 canais válidos.
2025-12-15 21:27:44.871 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-15 21:27:45.141 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://www.mercadolivre.com.br/social/agenciarice
2025-12-15 21:27:47.720 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-15 21:27:47.721 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0B3BC2FX3?...
2025-12-15 21:27:48.401 | ERROR    | __main__:processar_oferta:119 - ❌ Erro ao postar no Twitter: 403 Forbidden
You are not allowed to create a Tweet with duplicate content.
2025-12-15 21:28:37.508 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/agenciarice
2025-12-15 21:28:37.548 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/agenciarice
2025-12-15 21:29:37.571 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/agenciarice
2025-12-15 21:30:37.489 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-15 21:35:37.730 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-15 21:39:38.178 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/agenciarice
2025-12-15 21:42:26.634 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.amazon.com.br/dp/B0B3BC2FX3
